var_num,mode,steps,numtraj,freq,attper,score_type,jaccard_result,jaccard_weighted_result
7,synchronous,5,20,1,0.57,MDL,0.7,0.5
7,synchronous,5,20,1,0.57,BDE,0.7,0.5
5,synchronous,20,20,3,0.9404761904761905,MDL,0.5833333333333334,0.4375
5,synchronous,20,20,3,0.9404761904761905,BDE,0.5,0.375
7,synchronous,80,100,3,0.9682716049382716,MDL,0.3888888888888889,0.3181818181818182
7,synchronous,80,100,3,0.9682716049382716,BDE,0.3888888888888889,0.3181818181818182
7,synchronous,5,100,3,0.804,MDL,0.35714285714285715,0.15
7,synchronous,5,100,3,0.804,BDE,0.3,0.21428571428571427
10,synchronous,5,20,3,1.0,MDL,0.17391304347826086,0.14285714285714285
10,synchronous,5,20,3,1.0,BDE,0.13636363636363635,0.1111111111111111
7,synchronous,5,50,1,0.584,MDL,0.5333333333333333,0.42105263157894735
7,synchronous,5,50,1,0.584,BDE,0.6666666666666666,0.5
5,synchronous,80,50,3,0.9866666666666667,MDL,0.6153846153846154,0.47058823529411764
5,synchronous,80,50,3,0.9866666666666667,BDE,0.5,0.3888888888888889
5,synchronous,50,50,1,0.9604,MDL,1.0,0.7142857142857143
5,synchronous,50,50,1,0.9604,BDE,1.0,0.7142857142857143
5,synchronous,20,20,3,0.9525,MDL,0.35714285714285715,0.2777777777777778
5,synchronous,20,20,3,0.9525,BDE,0.35714285714285715,0.2777777777777778
7,synchronous,50,100,5,0.9802,MDL,0.2,0.14285714285714285
7,synchronous,50,100,5,0.9802,BDE,0.2,0.14285714285714285
10,synchronous,20,100,1,1.0,MDL,0.48148148148148145,0.36363636363636365
10,synchronous,20,100,1,1.0,BDE,0.48148148148148145,0.36363636363636365
13,synchronous,50,100,1,0.9224,MDL,0.4838709677419355,0.4117647058823529
13,synchronous,50,100,1,0.9224,BDE,0.4838709677419355,0.4117647058823529
7,synchronous,20,100,5,0.9142857142857143,MDL,0.38461538461538464,0.29411764705882354
7,synchronous,20,100,5,0.9142857142857143,BDE,0.46153846153846156,0.35294117647058826
5,synchronous,5,100,3,0.824,MDL,0.42857142857142855,0.3333333333333333
5,synchronous,5,100,3,0.824,BDE,0.46153846153846156,0.35294117647058826
10,synchronous,80,20,1,0.976875,MDL,0.7,0.56
10,synchronous,80,20,1,0.976875,BDE,0.7,0.56
16,synchronous,5,100,5,0.484,MDL,0.06557377049180328,0.043478260869565216
16,synchronous,5,100,5,0.484,BDE,0.08333333333333333,0.058823529411764705
13,synchronous,80,100,5,0.9758024691358025,MDL,0.2558139534883721,0.19148936170212766
13,synchronous,80,100,5,0.9758024691358025,BDE,0.23255813953488372,0.1956521739130435
13,synchronous,50,100,3,0.9692,MDL,0.14285714285714285,0.07692307692307693
13,synchronous,50,100,3,0.9692,BDE,0.11764705882352941,0.08108108108108109
16,synchronous,20,20,3,0.8,MDL,0.16326530612244897,0.06666666666666667
16,synchronous,20,20,3,0.8,BDE,0.20833333333333334,0.06557377049180328
5,synchronous,5,100,3,0.795,MDL,0.46153846153846156,0.35294117647058826
5,synchronous,5,100,3,0.795,BDE,0.46153846153846156,0.35294117647058826
16,synchronous,50,50,1,0.7824,MDL,0.38636363636363635,0.2830188679245283
16,synchronous,50,50,1,0.7824,BDE,0.4146341463414634,0.3
5,synchronous,50,50,5,0.9804,MDL,0.4666666666666667,0.3684210526315789
5,synchronous,50,50,5,0.9804,BDE,0.4666666666666667,0.3684210526315789
7,synchronous,50,20,1,0.961,MDL,0.8,0.5714285714285714
7,synchronous,50,20,1,0.961,BDE,0.8,0.5714285714285714
5,synchronous,80,20,1,0.9506172839506173,MDL,0.5833333333333334,0.4375
5,synchronous,80,20,1,0.9506172839506173,BDE,0.6666666666666666,0.5
10,synchronous,20,100,1,0.905,MDL,0.8,0.5769230769230769
10,synchronous,20,100,1,0.905,BDE,0.8,0.5769230769230769
16,synchronous,20,50,3,0.8,MDL,0.08928571428571429,0.046153846153846156
16,synchronous,20,50,3,0.8,BDE,0.09090909090909091,0.03076923076923077
7,synchronous,80,100,5,0.9875,MDL,0.2,0.14285714285714285
7,synchronous,80,100,5,0.9875,BDE,0.2,0.14285714285714285
10,synchronous,50,20,5,1.0,MDL,0.3103448275862069,0.2647058823529412
10,synchronous,50,20,5,1.0,BDE,0.3,0.2571428571428571
7,synchronous,5,50,3,0.804,MDL,0.2,0.14285714285714285
7,synchronous,5,50,3,0.804,BDE,0.2,0.14285714285714285
5,synchronous,50,100,1,0.942156862745098,MDL,0.8333333333333334,0.625
5,synchronous,50,100,1,0.942156862745098,BDE,0.8333333333333334,0.625
5,synchronous,5,20,1,0.5166666666666667,MDL,0.3333333333333333,0.25
5,synchronous,5,20,1,0.5166666666666667,BDE,0.16666666666666666,0.125
10,synchronous,5,100,5,0.804,MDL,0.23333333333333334,0.13513513513513514
10,synchronous,5,100,5,0.804,BDE,0.20689655172413793,0.14285714285714285
10,synchronous,5,100,1,1.0,MDL,0.19230769230769232,0.125
10,synchronous,5,100,1,1.0,BDE,0.15384615384615385,0.09375
5,synchronous,50,50,5,0.9796078431372549,MDL,0.46153846153846156,0.35294117647058826
5,synchronous,50,50,5,0.9796078431372549,BDE,0.46153846153846156,0.35294117647058826
16,synchronous,80,20,3,0.949375,MDL,0.13725490196078433,0.031746031746031744
16,synchronous,80,20,3,0.949375,BDE,0.1320754716981132,0.03076923076923077
13,synchronous,50,50,5,0.9768,MDL,0.09375,0.05714285714285714
13,synchronous,50,50,5,0.9768,BDE,0.09375,0.05714285714285714
5,synchronous,5,20,3,0.8,MDL,0.23076923076923078,0.17647058823529413
5,synchronous,5,20,3,0.8,BDE,0.3333333333333333,0.25
10,synchronous,50,50,5,1.0,MDL,0.28125,0.24324324324324326
10,synchronous,50,50,5,1.0,BDE,0.28125,0.24324324324324326
7,synchronous,80,20,3,0.988125,MDL,0.2,0.14285714285714285
7,synchronous,80,20,3,0.988125,BDE,0.2,0.14285714285714285
16,synchronous,20,20,1,0.5380952380952381,MDL,0.2391304347826087,0.18518518518518517
16,synchronous,20,20,1,0.5380952380952381,BDE,0.2391304347826087,0.18518518518518517
16,synchronous,80,50,1,0.8782716049382716,MDL,0.30612244897959184,0.24561403508771928
16,synchronous,80,50,1,0.8782716049382716,BDE,0.30612244897959184,0.24561403508771928
16,synchronous,20,50,1,0.54,MDL,0.2857142857142857,0.20689655172413793
16,synchronous,20,50,1,0.54,BDE,0.2708333333333333,0.19298245614035087
13,synchronous,20,20,3,0.8690476190476191,MDL,0.20512820512820512,0.16666666666666666
13,synchronous,20,20,3,0.8690476190476191,BDE,0.18421052631578946,0.14634146341463414
16,synchronous,5,20,5,0.575,MDL,0.10526315789473684,0.08888888888888889
16,synchronous,5,20,5,0.575,BDE,0.08333333333333333,0.06976744186046512
10,synchronous,5,20,5,0.81,MDL,0.14285714285714285,0.07407407407407407
10,synchronous,5,20,5,0.81,BDE,0.14285714285714285,0.07407407407407407
5,synchronous,5,50,5,0.82,MDL,0.18181818181818182,0.13333333333333333
5,synchronous,5,50,5,0.82,BDE,0.09090909090909091,0.06666666666666667
13,synchronous,5,50,5,0.6966666666666667,MDL,0.12121212121212122,0.08333333333333333
13,synchronous,5,50,5,0.6966666666666667,BDE,0.12903225806451613,0.08823529411764706
5,synchronous,80,20,5,0.98875,MDL,0.35714285714285715,0.21052631578947367
5,synchronous,80,20,5,0.98875,BDE,0.3333333333333333,0.25
13,synchronous,20,50,5,0.944,MDL,0.09375,0.05714285714285714
