x1,x10,x2,x3,x4,x5,x6,x7,x8,x9,time,trajectory,isattractor
0,0,1,0,0,0,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,1,0,1,0,0
0,1,0,0,1,0,1,0,1,0,2,0,1
0,1,0,0,1,0,1,0,1,0,3,0,1
0,1,0,0,1,0,1,0,1,0,4,0,1
0,1,0,0,1,0,1,0,1,0,5,0,1
0,1,0,0,1,0,1,0,1,0,6,0,1
0,1,0,0,1,0,1,0,1,0,7,0,1
0,1,0,0,1,0,1,0,1,0,8,0,1
0,1,0,0,1,0,1,0,1,0,9,0,1
0,1,0,0,1,0,1,0,1,0,10,0,1
1,1,0,0,0,0,1,0,0,0,0,1,0
1,1,0,0,1,0,0,0,1,0,1,1,0
0,1,0,0,1,0,1,0,1,0,2,1,1
0,1,0,0,1,0,1,0,1,0,3,1,1
0,1,0,0,1,0,1,0,1,0,4,1,1
0,1,0,0,1,0,1,0,1,0,5,1,1
0,1,0,0,1,0,1,0,1,0,6,1,1
0,1,0,0,1,0,1,0,1,0,7,1,1
0,1,0,0,1,0,1,0,1,0,8,1,1
0,1,0,0,1,0,1,0,1,0,9,1,1
0,1,0,0,1,0,1,0,1,0,10,1,1
1,0,1,0,0,1,1,1,1,0,0,2,0
1,1,1,0,1,0,1,1,1,0,1,2,0
0,1,0,0,1,0,1,0,1,0,2,2,1
0,1,0,0,1,0,1,0,1,0,3,2,1
0,1,0,0,1,0,1,0,1,0,4,2,1
0,1,0,0,1,0,1,0,1,0,5,2,1
0,1,0,0,1,0,1,0,1,0,6,2,1
0,1,0,0,1,0,1,0,1,0,7,2,1
0,1,0,0,1,0,1,0,1,0,8,2,1
0,1,0,0,1,0,1,0,1,0,9,2,1
0,1,0,0,1,0,1,0,1,0,10,2,1
