x1,x2,x3,x4,x5,time,trajectory,isattractor
0,0,1,0,0,0,0,0
1,0,1,0,1,1,0,1
1,0,1,0,1,2,0,1
1,0,1,0,1,3,0,1
1,0,1,0,1,4,0,1
1,0,1,0,1,5,0,1
1,0,1,0,1,6,0,1
1,0,1,0,1,7,0,1
1,0,1,0,1,8,0,1
1,0,1,0,1,9,0,1
1,0,1,0,1,10,0,1
1,1,0,1,0,0,1,0
1,0,1,0,1,1,1,1
1,0,1,0,1,2,1,1
1,0,1,0,1,3,1,1
1,0,1,0,1,4,1,1
1,0,1,0,1,5,1,1
1,0,1,0,1,6,1,1
1,0,1,0,1,7,1,1
1,0,1,0,1,8,1,1
1,0,1,0,1,9,1,1
1,0,1,0,1,10,1,1
1,1,0,1,0,0,2,0
1,0,1,0,1,1,2,1
1,0,1,0,1,2,2,1
1,0,1,0,1,3,2,1
1,0,1,0,1,4,2,1
1,0,1,0,1,5,2,1
1,0,1,0,1,6,2,1
1,0,1,0,1,7,2,1
1,0,1,0,1,8,2,1
1,0,1,0,1,9,2,1
1,0,1,0,1,10,2,1
