mode,steps,numtraj,freq,attper,score_type,jaccard_result,jaccard_weighted_result
asynchronous,20,20,1,0.5714285714285714,MDL,,
asynchronous,20,20,1,0.5714285714285714,BDE,,
asynchronous,20,20,3,0.861904761904762,MDL,,
asynchronous,20,20,3,0.861904761904762,BDE,,
asynchronous,20,20,5,0.8857142857142857,MDL,,
asynchronous,20,20,5,0.8857142857142857,BDE,,
asynchronous,20,70,1,0.4993197278911565,MDL,,
asynchronous,20,70,1,0.4993197278911565,BDE,,
asynchronous,20,70,3,0.8312925170068027,MDL,,
asynchronous,20,70,3,0.8312925170068027,BDE,,
asynchronous,20,70,5,0.8816326530612245,MDL,,
asynchronous,20,70,5,0.8816326530612245,BDE,,
asynchronous,5,20,1,0.06666666666666667,MDL,,
asynchronous,5,20,1,0.06666666666666667,BDE,,
asynchronous,5,20,3,0.43333333333333335,MDL,,
asynchronous,5,20,3,0.43333333333333335,BDE,,
asynchronous,5,20,5,0.6083333333333333,MDL,,
asynchronous,5,20,5,0.6083333333333333,BDE,,
asynchronous,5,70,1,0.04047619047619048,MDL,,
asynchronous,5,70,1,0.04047619047619048,BDE,,
asynchronous,5,70,3,0.42857142857142855,MDL,,
asynchronous,5,70,3,0.42857142857142855,BDE,,
asynchronous,5,70,5,0.6166666666666667,MDL,,
asynchronous,5,70,5,0.6166666666666667,BDE,,
synchronous,20,20,1,0.8175,MDL,,
synchronous,20,20,1,0.8175,BDE,,
synchronous,20,20,3,0.92,MDL,,
synchronous,20,20,3,0.92,BDE,,
synchronous,20,20,5,0.9475,MDL,,
synchronous,20,20,5,0.9475,BDE,,
synchronous,20,70,1,0.8128571428571428,MDL,,
synchronous,20,70,1,0.8128571428571428,BDE,,
synchronous,20,70,3,0.9164285714285715,MDL,,
synchronous,20,70,3,0.9164285714285715,BDE,,
synchronous,20,70,5,0.9478571428571428,MDL,,
synchronous,20,70,5,0.9478571428571428,BDE,,
synchronous,5,20,1,0.28,MDL,,
synchronous,5,20,1,0.28,BDE,,
asynchronous,20,20,1,0.5714285714285714,MDL,,
asynchronous,20,20,1,0.5714285714285714,BDE,,
asynchronous,20,20,3,0.861904761904762,MDL,,
asynchronous,20,20,3,0.861904761904762,BDE,,
asynchronous,20,20,5,0.8857142857142857,MDL,,
asynchronous,20,20,5,0.8857142857142857,BDE,,
asynchronous,20,70,1,0.4993197278911565,MDL,,
asynchronous,20,70,1,0.4993197278911565,BDE,,
asynchronous,20,70,3,0.8312925170068027,MDL,,
asynchronous,20,70,3,0.8312925170068027,BDE,,
asynchronous,20,70,5,0.8816326530612245,MDL,,
asynchronous,20,70,5,0.8816326530612245,BDE,,
asynchronous,5,20,1,0.06666666666666667,MDL,,
asynchronous,5,20,1,0.06666666666666667,BDE,,
asynchronous,5,20,3,0.43333333333333335,MDL,,
asynchronous,5,20,3,0.43333333333333335,BDE,,
asynchronous,5,20,5,0.6083333333333333,MDL,,
asynchronous,5,20,5,0.6083333333333333,BDE,,
asynchronous,5,70,1,0.04047619047619048,MDL,,
asynchronous,5,70,1,0.04047619047619048,BDE,,
asynchronous,5,70,3,0.42857142857142855,MDL,,
asynchronous,5,70,3,0.42857142857142855,BDE,,
asynchronous,5,70,5,0.6166666666666667,MDL,,
asynchronous,5,70,5,0.6166666666666667,BDE,,
synchronous,20,20,1,0.8175,MDL,,
synchronous,20,20,1,0.8175,BDE,,
synchronous,20,20,3,0.92,MDL,,
synchronous,20,20,3,0.92,BDE,,
synchronous,20,20,5,0.9475,MDL,,
synchronous,20,20,5,0.9475,BDE,,
synchronous,5,70,5,0.7914285714285715,MDL,0.057692307692307696,0.057692307692307696
synchronous,5,70,5,0.7914285714285715,BDE,0.057692307692307696,0.057692307692307696
asynchronous,20,20,1,0.5714285714285714,MDL,0.19230769230769232,0.19230769230769232
asynchronous,20,20,1,0.5714285714285714,BDE,0.17307692307692307,0.17307692307692307
asynchronous,5,20,1,0.06666666666666667,MDL,0.0784313725490196,0.0784313725490196
asynchronous,5,20,1,0.06666666666666667,BDE,0.0784313725490196,0.0784313725490196
asynchronous,5,70,1,0.04047619047619048,MDL,0.0784313725490196,0.0784313725490196
asynchronous,5,70,1,0.04047619047619048,BDE,0.058823529411764705,0.058823529411764705
synchronous,20,20,3,0.92,MDL,0.08771929824561403,0.08771929824561403
synchronous,20,20,3,0.92,BDE,0.09259259259259259,0.09259259259259259
synchronous,20,20,1,0.8175,MDL,0.5609756097560976,0.5609756097560976
synchronous,20,20,1,0.8175,BDE,0.5365853658536586,0.5365853658536586
asynchronous,20,70,3,0.8312925170068027,MDL,0.2807017543859649,0.2807017543859649
asynchronous,5,20,3,0.43333333333333335,MDL,0.1702127659574468,0.1702127659574468
asynchronous,20,70,3,0.8312925170068027,BDE,0.3157894736842105,0.3157894736842105
asynchronous,5,20,3,0.43333333333333335,BDE,0.1702127659574468,0.1702127659574468
synchronous,5,20,5,0.79,MDL,0.0625,0.0625
asynchronous,20,20,5,0.8857142857142857,MDL,0.28,0.28
asynchronous,20,20,5,0.8857142857142857,BDE,0.2777777777777778,0.2777777777777778
synchronous,20,70,3,0.9164285714285715,MDL,0.10344827586206896,0.10344827586206896
synchronous,5,20,5,0.79,BDE,0.06382978723404255,0.06382978723404255
synchronous,20,70,3,0.9164285714285715,BDE,0.1206896551724138,0.1206896551724138
synchronous,5,70,3,0.6657142857142857,MDL,0.07017543859649122,0.07017543859649122
synchronous,20,70,1,0.8128571428571428,MDL,0.7,0.7
synchronous,5,70,3,0.6657142857142857,BDE,0.07407407407407407,0.07407407407407407
asynchronous,5,20,5,0.6083333333333333,MDL,0.2857142857142857,0.2857142857142857
synchronous,20,70,1,0.8128571428571428,BDE,0.7,0.7
asynchronous,5,20,5,0.6083333333333333,BDE,0.2857142857142857,0.2857142857142857
asynchronous,5,70,5,0.6166666666666667,MDL,0.22,0.22
asynchronous,5,70,5,0.6166666666666667,BDE,0.2653061224489796,0.2653061224489796
asynchronous,20,70,5,0.8816326530612245,MDL,0.23333333333333334,0.23333333333333334
asynchronous,20,70,5,0.8816326530612245,BDE,0.25,0.25
asynchronous,5,70,3,0.42857142857142855,MDL,0.18867924528301888,0.18867924528301888
asynchronous,5,70,3,0.42857142857142855,BDE,0.17307692307692307,0.17307692307692307
synchronous,20,20,5,0.9475,MDL,0.07142857142857142,0.07142857142857142
synchronous,20,20,5,0.9475,BDE,0.07407407407407407,0.07407407407407407
synchronous,20,70,5,0.9478571428571428,MDL,0.12962962962962962,0.12962962962962962
synchronous,5,20,1,0.28,MDL,0.43902439024390244,0.43902439024390244
synchronous,20,70,5,0.9478571428571428,BDE,0.12962962962962962,0.12962962962962962
synchronous,5,20,1,0.28,BDE,0.375,0.375
asynchronous,20,70,1,0.4993197278911565,MDL,0.38461538461538464,0.38461538461538464
asynchronous,20,70,1,0.4993197278911565,BDE,0.39215686274509803,0.39215686274509803
synchronous,5,20,3,0.68,MDL,0.0625,0.0625
asynchronous,20,20,3,0.861904761904762,MDL,0.23529411764705882,0.23529411764705882
asynchronous,20,20,3,0.861904761904762,BDE,0.23076923076923078,0.23076923076923078
synchronous,5,20,3,0.68,BDE,0.06382978723404255,0.06382978723404255
synchronous,5,70,1,0.26,MDL,0.5102040816326531,0.48
synchronous,5,70,1,0.26,BDE,0.5434782608695652,0.5106382978723404
