v_Bmp2,v_Dkk1,v_Fgf8,v_Foxc1_2,v_GATAs,v_Isl1,v_Mesp1,v_Nkx2_5,v_Tbx1,v_Tbx5,v_canWnt,v_exogen_BMP2_I,v_exogen_BMP2_II,v_exogen_CanWnt_I,v_exogen_canWnt_II,time,trajectory,isattractor
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3,0,1
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,4,0,1
0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0
1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0
0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,2,1,0
0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,3,1,0
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,4,1,1
1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,2,0
0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,2,0
1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,2,2,0
1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,3,2,0
1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,4,2,1
0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,3,0
0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,3,0
1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,2,3,0
0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,3,3,0
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,4,3,1
0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,4,0
1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,4,0
1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,2,4,0
0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,3,4,0
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,4,4,1
0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,5,0
0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,5,0
1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,2,5,0
0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,3,5,0
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,4,5,1
0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,6,0
0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,6,0
1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,2,6,0
1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,3,6,1
1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,4,6,1
1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,7,0
0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,7,0
0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,2,7,0
1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,3,7,0
1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,4,7,1
0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,8,0
0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,8,0
0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,2,8,0
0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,3,8,0
