v_Akkermansia_,v_Barnesiella,v_Blautia,v_Clindamycin_,v_Clostridium_difficile,v_Coprobacillus,v_Enterobacteriaceae,v_Enterococcus,v_Lachnospiraceae,v_Lachnospiraceae_other_,v_Mollicutes,v_Other,time,trajectory,isattractor
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
0,1,1,0,0,0,0,1,1,0,0,0,2,0,0
0,1,1,0,0,0,0,1,1,1,0,0,3,0,0
0,1,1,0,0,0,0,1,1,1,0,1,4,0,1
0,1,1,0,0,0,0,1,1,1,0,1,5,0,1
0,1,1,0,0,1,1,1,0,0,1,0,0,1,0
1,1,1,0,0,1,1,1,0,0,1,0,1,1,0
1,0,1,0,0,1,1,1,0,0,1,0,2,1,1
1,0,1,0,0,1,1,1,0,0,1,0,3,1,1
1,0,1,0,0,1,1,1,0,0,1,0,4,1,1
1,0,1,0,0,1,1,1,0,0,1,0,5,1,1
1,0,1,0,1,0,1,1,0,0,0,0,0,2,0
0,0,1,0,1,0,1,1,0,0,0,0,1,2,1
0,0,1,0,1,0,1,1,0,0,0,0,2,2,1
0,0,1,0,1,0,1,1,0,0,0,0,3,2,1
0,0,1,0,1,0,1,1,0,0,0,0,4,2,1
0,0,1,0,1,0,1,1,0,0,0,0,5,2,1
1,1,1,0,1,1,0,1,0,0,0,0,0,3,0
1,1,1,0,0,1,0,1,0,0,0,0,1,3,0
1,0,1,0,0,1,0,1,0,0,0,0,2,3,1
1,0,1,0,0,1,0,1,0,0,0,0,3,3,1
1,0,1,0,0,1,0,1,0,0,0,0,4,3,1
1,0,1,0,0,1,0,1,0,0,0,0,5,3,1
0,0,0,1,1,1,0,0,1,0,1,1,0,4,0
0,0,0,1,1,1,0,0,0,0,1,1,1,4,0
0,0,1,1,1,1,0,0,0,0,1,1,2,4,0
0,0,1,1,1,1,0,1,0,0,1,1,3,4,0
1,0,1,1,1,1,0,1,0,0,1,1,4,4,0
1,0,1,1,1,1,0,1,0,0,1,0,5,4,1
1,1,1,1,0,0,1,0,0,0,0,0,0,5,0
1,1,1,1,0,0,1,1,0,0,0,0,1,5,0
1,0,1,1,0,0,1,1,0,0,0,0,2,5,0
0,0,1,1,0,0,1,1,0,0,0,0,3,5,1
0,0,1,1,0,0,1,1,0,0,0,0,4,5,1
0,0,1,1,0,0,1,1,0,0,0,0,5,5,1
1,1,0,0,1,1,0,1,1,0,1,0,0,6,0
1,1,0,0,1,1,0,1,1,1,1,0,1,6,0
1,1,0,0,1,1,0,1,1,1,1,1,2,6,0
1,1,1,0,1,1,0,1,1,1,1,1,3,6,0
