v_Akkermansia_,v_Barnesiella,v_Blautia,v_Clindamycin_,v_Clostridium_difficile,v_Coprobacillus,v_Enterobacteriaceae,v_Enterococcus,v_Lachnospiraceae,v_Lachnospiraceae_other_,v_Mollicutes,v_Other,time,trajectory,isattractor
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,1,0,0,0,0,1,1,1,0,1,1,0,1
0,1,1,0,0,0,0,1,1,1,0,1,2,0,1
0,1,1,0,0,0,0,1,1,1,0,1,3,0,1
0,1,1,0,0,0,0,1,1,1,0,1,4,0,1
0,0,0,0,1,0,1,1,0,0,1,1,0,1,0
0,1,1,0,1,0,1,1,1,1,1,1,1,1,0
0,1,1,0,0,0,1,1,1,1,1,1,2,1,1
0,1,1,0,0,0,1,1,1,1,1,1,3,1,1
0,1,1,0,0,0,1,1,1,1,1,1,4,1,1
1,0,0,1,0,0,1,0,1,1,1,0,0,2,0
0,0,0,1,0,0,1,1,0,0,1,0,1,2,0
0,0,1,1,0,0,1,1,0,0,1,0,2,2,1
0,0,1,1,0,0,1,1,0,0,1,0,3,2,1
0,0,1,1,0,0,1,1,0,0,1,0,4,2,1
1,0,1,0,1,1,0,0,0,0,1,0,0,3,0
1,0,1,0,1,1,0,1,0,0,1,0,1,3,1
1,0,1,0,1,1,0,1,0,0,1,0,2,3,1
1,0,1,0,1,1,0,1,0,0,1,0,3,3,1
1,0,1,0,1,1,0,1,0,0,1,0,4,3,1
0,0,1,1,1,1,0,1,1,0,1,0,0,4,0
1,0,1,1,1,1,0,1,0,0,1,0,1,4,1
1,0,1,1,1,1,0,1,0,0,1,0,2,4,1
1,0,1,1,1,1,0,1,0,0,1,0,3,4,1
1,0,1,1,1,1,0,1,0,0,1,0,4,4,1
0,0,0,1,1,1,0,1,0,0,0,1,0,5,0
1,0,1,1,1,1,0,1,0,0,0,0,1,5,1
1,0,1,1,1,1,0,1,0,0,0,0,2,5,1
1,0,1,1,1,1,0,1,0,0,0,0,3,5,1
1,0,1,1,1,1,0,1,0,0,0,0,4,5,1
1,1,0,0,1,0,1,1,1,0,1,0,0,6,0
0,1,1,0,0,0,1,1,1,1,1,1,1,6,1
0,1,1,0,0,0,1,1,1,1,1,1,2,6,1
0,1,1,0,0,0,1,1,1,1,1,1,3,6,1
0,1,1,0,0,0,1,1,1,1,1,1,4,6,1
0,1,1,1,1,0,0,1,0,0,0,0,0,7,0
0,0,1,1,0,0,0,1,0,0,0,0,1,7,1
0,0,1,1,0,0,0,1,0,0,0,0,2,7,1
0,0,1,1,0,0,0,1,0,0,0,0,3,7,1
0,0,1,1,0,0,0,1,0,0,0,0,4,7,1
0,1,0,1,1,1,1,0,0,1,1,0,0,8,0
1,0,1,1,0,1,1,1,0,0,1,0,1,8,1
1,0,1,1,0,1,1,1,0,0,1,0,2,8,1
1,0,1,1,0,1,1,1,0,0,1,0,3,8,1
1,0,1,1,0,1,1,1,0,0,1,0,4,8,1
1,1,0,1,0,1,0,0,1,0,0,1,0,9,0
1,0,1,1,0,1,0,0,0,0,0,0,1,9,0
1,0,1,1,0,1,0,1,0,0,0,0,2,9,1
1,0,1,1,0,1,0,1,0,0,0,0,3,9,1
1,0,1,1,0,1,0,1,0,0,0,0,4,9,1
0,0,1,1,0,0,1,1,0,0,0,0,0,10,1
0,0,1,1,0,0,1,1,0,0,0,0,1,10,1
0,0,1,1,0,0,1,1,0,0,0,0,2,10,1
0,0,1,1,0,0,1,1,0,0,0,0,3,10,1
0,0,1,1,0,0,1,1,0,0,0,0,4,10,1
0,1,0,0,0,1,0,1,1,0,0,1,0,11,0
1,1,1,0,0,1,0,0,1,1,0,1,1,11,0
1,1,1,0,0,1,0,1,1,1,0,1,2,11,1
1,1,1,0,0,1,0,1,1,1,0,1,3,11,1
1,1,1,0,0,1,0,1,1,1,0,1,4,11,1
1,1,1,1,0,0,0,0,1,0,0,0,0,12,0
0,0,1,1,0,0,0,1,0,0,0,0,1,12,1
