v_Adenylate_cyclase,v_COMT,v_Calcineurin,v_Calcium,v_DARPP32,v_Dopamine,v_Dopamine_Receptor_1,v_Dopamine_Receptor_2,v_Exocytosis,v_Glutamate,v_Glutamate_Receptor,v_Packaging_Proteins,v_Phospholipase_C,v_Protein_Kinase_A,v_Protein_Phosphatase_1,v_Tryosine_hydroxylase,time,trajectory,isattractor
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,0,1
0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0
0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,1,1
0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,2,0
0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,2,1
1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,3,0
1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,3,1
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,1
1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,3,3,1
1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,4,3,1
0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,5,3,1
0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,6,3,1
0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,7,3,1
0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,8,3,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,3,1
0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,10,3,1
0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,11,3,1
0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,12,3,1
0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,13,3,1
0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,14,3,1
0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,15,3,1
0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,16,3,1
0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,17,3,1
0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,18,3,1
0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,19,3,1
0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,20,3,1
1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,4,0
1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,4,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,4,1
0,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,5,1
0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,5,1
0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,2,5,1
0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,3,5,1
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,4,5,1
0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,5,5,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,6,5,1
0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,7,5,1
0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,8,5,1
0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,9,5,1
0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,10,5,1
0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,11,5,1
0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,12,5,1
0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,13,5,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,14,5,1
1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,15,5,1
0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,16,5,1
0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,17,5,1
0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,18,5,1
1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,19,5,1
0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,20,5,1
0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,6,0
0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,6,0
1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,2,6,0
0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3,6,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,6,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,6,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,6,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7,6,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8,6,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9,6,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10,6,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11,6,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12,6,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13,6,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,14,6,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,15,6,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,16,6,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,17,6,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,18,6,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,19,6,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,20,6,1
0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,7,1
0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,7,1
0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,2,7,1
0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,3,7,1
0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,4,7,1
0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,5,7,1
0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,6,7,1
0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,7,7,1
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,8,7,1
1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,9,7,1
1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,10,7,1
0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,11,7,1
0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,12,7,1
0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,13,7,1
1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,14,7,1
0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,15,7,1
0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,16,7,1
0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,17,7,1
0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,18,7,1
0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,19,7,1
0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,20,7,1
1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,8,1
1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,8,1
0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,2,8,1
0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,3,8,1
0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,4,8,1
0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,5,8,1
0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,6,8,1
1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,7,8,1
1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,8,8,1
0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,9,8,1
0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,10,8,1
0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,11,8,1
1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,12,8,1
1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,13,8,1
0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,14,8,1
0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,15,8,1
1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,16,8,1
0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,17,8,1
0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,18,8,1
0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,19,8,1
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,20,8,1
0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,9,1
0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,9,1
0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,2,9,1
1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,3,9,1
1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,4,9,1
0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,5,9,1
0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,6,9,1
1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,7,9,1
1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,8,9,1
0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,9,9,1
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,9,1
